run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
100,9.101273,9.101273,0,9.101273,1,1.717,2.435,3.152,3.87,4.587,5.304,6.022,6.739,7.457,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
101,16.252325,16.252325,0,16.252325,1,1.891,2.783,3.674,4.565,5.457,6.348,7.239,8.13,9.022,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
102,25.453492,25.453492,0,25.453492,1,2.065,3.13,4.196,5.261,6.326,7.391,8.457,9.522,10.587,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
103,36.714105,36.714105,0,36.714105,1,2.239,3.478,4.717,5.957,7.196,8.435,9.674,10.913,12.152,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
104,50.026546,50.026546,0,50.026546,1,2.413,3.826,5.239,6.652,8.065,9.478,10.891,12.304,13.717,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
105,65.408146,65.408146,0,65.408146,1,2.587,4.174,5.761,7.348,8.935,10.522,12.109,13.696,15.283,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
106,82.832905,82.832905,0,82.832905,1,2.761,4.522,6.283,8.043,9.804,11.565,13.326,15.087,16.848,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
107,102.319892,102.319892,0,102.319892,1,2.935,4.87,6.804,8.739,10.674,12.609,14.543,16.478,18.413,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
108,123.855925,123.855925,0,123.855925,1,3.109,5.217,7.326,9.435,11.543,13.652,15.761,17.87,19.978,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
109,147.468073,147.468073,0,147.468073,1,3.283,5.565,7.848,10.13,12.413,14.696,16.978,19.261,21.543,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
110,173.138989,173.138989,0,173.138989,1,3.457,5.913,8.37,10.826,13.283,15.739,18.196,20.652,23.109,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
111,200.829785,200.829785,0,200.829785,1,3.63,6.261,8.891,11.522,14.152,16.783,19.413,22.043,24.674,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
112,230.615453,230.615453,0,230.615453,1,3.804,6.609,9.413,12.217,15.022,17.826,20.63,23.435,26.239,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
113,262.432106,262.432106,0,262.432106,1,3.978,6.957,9.935,12.913,15.891,18.87,21.848,24.826,27.804,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
114,296.33357,296.33357,0,296.33357,1,4.152,7.304,10.457,13.609,16.761,19.913,23.065,26.217,29.37,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
115,332.243784,332.243784,0,332.243784,1,4.326,7.652,10.978,14.304,17.63,20.957,24.283,27.609,30.935,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
116,370.26,370.26,0,370.26,1,4.5,8,11.5,15,18.5,22,25.5,29,32.5,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
117,410.334984,410.334984,0,410.334984,1,4.674,8.348,12.022,15.696,19.37,23.043,26.717,30.391,34.065,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
118,452.41037,452.41037,0,452.41037,1,4.848,8.696,12.543,16.391,20.239,24.087,27.935,31.783,35.63,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
119,496.600106,496.600106,0,496.600106,1,5.022,9.043,13.065,17.087,21.109,25.13,29.152,33.174,37.196,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
120,542.808653,542.808653,0,542.808653,1,5.196,9.391,13.587,17.783,21.978,26.174,30.37,34.565,38.761,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
121,591.114185,591.114185,0,591.114185,1,5.37,9.739,14.109,18.478,22.848,27.217,31.587,35.957,40.326,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
122,641.408989,641.408989,0,641.408989,1,5.543,10.087,14.63,19.174,23.717,28.261,32.804,37.348,41.891,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
123,693.829273,693.829273,0,693.829273,1,5.717,10.435,15.152,19.87,24.587,29.304,34.022,38.739,43.457,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
124,748.308325,748.308325,0,748.308325,1,5.891,10.783,15.674,20.565,25.457,30.348,35.239,40.13,45.022,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
125,804.797492,804.797492,0,804.797492,1,6.065,11.13,16.196,21.261,26.326,31.391,36.457,41.522,46.587,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
126,863.362105,863.362105,0,863.362105,1,6.239,11.478,16.717,21.957,27.196,32.435,37.674,42.913,48.152,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
127,923.962546,923.962546,0,923.962546,1,6.413,11.826,17.239,22.652,28.065,33.478,38.891,44.304,49.717,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
128,986.672146,986.672146,0,986.672146,1,6.587,12.174,17.761,23.348,28.935,34.522,40.109,45.696,51.283,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
129,1051.384905,1051.384905,0,1051.384905,1,6.761,12.522,18.283,24.043,29.804,35.565,41.326,47.087,52.848,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
130,1118.175892,1118.175892,0,1118.175892,1,6.935,12.87,18.804,24.739,30.674,36.609,42.543,48.478,54.413,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
131,1186.999925,1186.999925,0,1186.999925,1,7.109,13.217,19.326,25.435,31.543,37.652,43.761,49.87,55.978,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
132,1257.940073,1257.940073,0,1257.940073,1,7.283,13.565,19.848,26.13,32.413,38.696,44.978,51.261,57.543,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
133,1330.938989,1330.938989,0,1330.938989,1,7.457,13.913,20.37,26.826,33.283,39.739,46.196,52.652,59.109,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
134,1405.893785,1405.893785,0,1405.893785,1,7.63,14.261,20.891,27.522,34.152,40.783,47.413,54.043,60.674,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
135,1483.007453,1483.007453,0,1483.007453,1,7.804,14.609,21.413,28.217,35.022,41.826,48.63,55.435,62.239,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
136,1562.112106,1562.112106,0,1562.112106,1,7.978,14.957,21.935,28.913,35.891,42.87,49.848,56.826,63.804,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
137,1643.34157,1643.34157,0,1643.34157,1,8.152,15.304,22.457,29.609,36.761,43.913,51.065,58.217,65.37,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
138,1726.515784,1726.515784,0,1726.515784,1,8.326,15.652,22.978,30.304,37.63,44.957,52.283,59.609,66.935,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
139,1811.86,1811.86,0,1811.86,1,8.5,16,23.5,31,38.5,46,53.5,61,68.5,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
140,1899.262984,1899.262984,0,1899.262984,1,8.674,16.348,24.022,31.696,39.37,47.043,54.717,62.391,70.065,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
141,1988.60237,1988.60237,0,1988.60237,1,8.848,16.696,24.543,32.391,40.239,48.087,55.935,63.783,71.63,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
142,2080.120106,2080.120106,0,2080.120106,1,9.022,17.043,25.065,33.087,41.109,49.13,57.152,65.174,73.196,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
143,2173.616653,2173.616653,0,2173.616653,1,9.196,17.391,25.587,33.783,41.978,50.174,58.37,66.565,74.761,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
