site,datetime,value
trgw_002_009,2017-12-11,37.47487702455082
trgw_002_009,2017-12-12,37.856633988382676
trgw_002_009,2017-12-13,37.8209169053108
trgw_002_009,2017-12-14,37.800497156699755
trgw_002_009,2017-12-15,37.8321947786874
trgw_002_009,2017-12-16,37.085285427954474
trgw_002_009,2017-12-17,37.859187512216195
trgw_002_009,2017-12-18,38.05144236211579
trgw_002_009,2017-12-19,37.78822069492586
trgw_002_009,2017-12-20,37.738099799299945
trgw_002_009,2017-12-21,37.84291273467829
trgw_002_009,2017-12-22,37.786685094737024
trgw_002_009,2017-12-23,37.85179225234012
trgw_002_009,2017-12-24,37.72141420004908
trgw_002_009,2017-12-25,37.61113602909262
trgw_002_009,2017-12-26,37.569608457557074
trgw_002_009,2017-12-27,37.57724765435363
trgw_002_009,2017-12-28,37.52743948980982
trgw_002_009,2017-12-29,37.59306959779618
trgw_002_009,2017-12-30,38.15432022548397
trgw_002_009,2017-12-31,37.95756913273125
trgw_003_008,2016-01-01,36.74837752186307
trgw_003_008,2016-01-02,36.8050964612029
trgw_003_008,2016-01-03,36.91398750618129
trgw_003_008,2016-01-04,36.799855994103126
trgw_003_008,2016-01-05,36.952973371434865
trgw_003_008,2016-01-06,37.09443082758058
trgw_003_008,2016-01-07,36.95161445329036
trgw_003_008,2016-01-08,37.029701148532396
trgw_003_008,2016-01-09,37.154574307871925
trgw_003_008,2016-01-10,36.92137664879636
trgw_003_008,2016-01-11,37.03303211982687
trgw_003_008,2016-01-12,36.91410448142333
trgw_003_008,2016-01-13,36.98811422603312
trgw_003_008,2016-01-14,36.931683946983405
trgw_003_008,2016-01-15,36.89153602928877
trgw_003_008,2016-01-16,37.047216370597404
trgw_003_008,2016-01-17,37.12909906316364
trgw_003_008,2016-01-18,37.051340889200205
trgw_003_008,2016-01-19,37.12526539166239
trgw_003_008,2016-01-20,36.88048564395175
trgw_003_008,2016-01-21,36.81506996156004
trgw_003_008,2016-01-22,37.14308870059352
trgw_003_008,2016-01-23,37.20143627823495
trgw_003_008,2016-01-24,37.07568345331996
trgw_003_008,2016-01-25,37.334007156084944
trgw_003_008,2016-01-26,37.250333759597574
trgw_003_008,2016-01-27,37.6114621681538
trgw_003_008,2016-01-28,37.03682229720087
trgw_003_008,2016-01-29,36.89611624078093
trgw_003_008,2016-01-30,36.9524976418521
trgw_003_008,2016-01-31,36.993440438725074
trgw_003_008,2016-02-01,37.200690276687624
trgw_003_008,2016-02-02,36.67626928720775
trgw_003_008,2016-02-03,37.37738820361817
trgw_003_008,2016-02-04,37.06762668177153
trgw_003_008,2016-02-05,37.08313128844225
trgw_003_008,2016-02-06,36.917924366795
trgw_003_008,2016-02-07,37.113844889709966
trgw_003_008,2016-02-08,37.144172953533506
trgw_003_008,2016-02-09,37.13257801447995
trgw_003_008,2016-02-10,37.23022685118849
trgw_003_008,2016-02-11,37.045815591609795
trgw_003_008,2016-02-12,36.98203684791783
trgw_003_008,2016-02-13,37.2740296260996
trgw_003_008,2016-02-14,37.18515349076316
trgw_003_008,2016-02-15,37.20676421103948
trgw_003_008,2016-02-16,37.38111545088839
trgw_003_008,2016-02-17,36.96998712174786
trgw_003_008,2016-02-18,37.002596908549826
trgw_003_008,2016-02-19,37.424203930165795
trgw_003_008,2016-02-20,36.878399328485195
trgw_003_008,2016-02-21,36.9151305707338
trgw_003_008,2016-02-22,37.358679366237
trgw_003_008,2016-02-23,37.24210003840441
trgw_003_008,2016-02-24,37.21505042741185
trgw_003_008,2016-02-25,37.183168118379925
trgw_003_008,2016-02-26,37.20964550940551
trgw_003_008,2016-02-27,37.191401577061605
trgw_003_008,2016-02-28,37.482708540518885
trgw_003_008,2016-02-29,37.132810374249985
trgw_003_008,2016-03-01,37.185693292744446
trgw_003_008,2016-03-02,37.588454761045014
trgw_003_008,2016-03-03,37.24775194040597
trgw_003_008,2016-03-04,37.69317327790503
trgw_003_008,2016-03-05,37.22668105979621
trgw_003_008,2016-03-06,37.525500996492035
trgw_003_008,2016-03-07,36.92444319233807
