run_id,hk1,cal_flux,fore_flux
517,   8.959184E-01,   9.326531E-01,1.0
518,   8.959184E-01,   9.816327E-01,1.0
519,   8.959184E-01,   1.030612E+00,1.0
520,   8.959184E-01,   1.079592E+00,1.0
521,   8.959184E-01,   1.128571E+00,1.0
522,   8.959184E-01,   1.177551E+00,1.0
523,   8.959184E-01,   1.226531E+00,1.0
524,   8.959184E-01,   1.275510E+00,1.0
525,   8.959184E-01,   1.324490E+00,1.0
526,   8.959184E-01,   1.373469E+00,1.0
527,   8.959184E-01,   1.422449E+00,1.0
528,   8.959184E-01,   1.471429E+00,1.0
529,   8.959184E-01,   1.520408E+00,1.0
530,   8.959184E-01,   1.569388E+00,1.0
531,   8.959184E-01,   1.618367E+00,1.0
532,   8.959184E-01,   1.667347E+00,1.0
533,   8.959184E-01,   1.716327E+00,1.0
534,   8.959184E-01,   1.765306E+00,1.0
535,   8.959184E-01,   1.814286E+00,1.0
536,   8.959184E-01,   1.863265E+00,1.0
537,   8.959184E-01,   1.912245E+00,1.0
538,   8.959184E-01,   1.961224E+00,1.0
539,   8.959184E-01,   2.010204E+00,1.0
540,   8.959184E-01,   2.059184E+00,1.0
541,   8.959184E-01,   2.108163E+00,1.0
542,   8.959184E-01,   2.157143E+00,1.0
543,   8.959184E-01,   2.206122E+00,1.0
544,   8.959184E-01,   2.255102E+00,1.0
545,   8.959184E-01,   2.304082E+00,1.0
546,   8.959184E-01,   2.353061E+00,1.0
547,   8.959184E-01,   2.402041E+00,1.0
548,   8.959184E-01,   2.451020E+00,1.0
549,   8.959184E-01,   2.500000E+00,1.0
550,   9.755102E-01,   1.000000E-01,1.0
551,   9.755102E-01,   1.489796E-01,1.0
552,   9.755102E-01,   1.979592E-01,1.0
553,   9.755102E-01,   2.469388E-01,1.0
554,   9.755102E-01,   2.959184E-01,1.0
555,   9.755102E-01,   3.448980E-01,1.0
556,   9.755102E-01,   3.938776E-01,1.0
557,   9.755102E-01,   4.428571E-01,1.0
558,   9.755102E-01,   4.918367E-01,1.0
559,   9.755102E-01,   5.408163E-01,1.0
560,   9.755102E-01,   5.897959E-01,1.0
561,   9.755102E-01,   6.387755E-01,1.0
562,   9.755102E-01,   6.877551E-01,1.0
563,   9.755102E-01,   7.367347E-01,1.0
564,   9.755102E-01,   7.857143E-01,1.0
565,   9.755102E-01,   8.346939E-01,1.0
566,   9.755102E-01,   8.836735E-01,1.0
567,   9.755102E-01,   9.326531E-01,1.0
568,   9.755102E-01,   9.816327E-01,1.0
569,   9.755102E-01,   1.030612E+00,1.0
570,   9.755102E-01,   1.079592E+00,1.0
571,   9.755102E-01,   1.128571E+00,1.0
572,   9.755102E-01,   1.177551E+00,1.0
573,   9.755102E-01,   1.226531E+00,1.0
574,   9.755102E-01,   1.275510E+00,1.0
575,   9.755102E-01,   1.324490E+00,1.0
576,   9.755102E-01,   1.373469E+00,1.0
577,   9.755102E-01,   1.422449E+00,1.0
578,   9.755102E-01,   1.471429E+00,1.0
