run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
133,1331.1996452163,1331.1996452163,0,1331.1996452163,1,7.457,13.913,20.37,26.826,33.283,39.739,46.196,52.652,59.109,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
134,1406.17854787252,1406.17854787252,0,1406.17854787252,1,7.63,14.261,20.891,27.522,34.152,40.783,47.413,54.043,60.674,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
135,1483.31672328962,1483.31672328962,0,1483.31672328962,1,7.804,14.609,21.413,28.217,35.022,41.826,48.63,55.435,62.239,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
136,1562.44623879586,1562.44623879586,0,1562.44623879586,1,7.978,14.957,21.935,28.913,35.891,42.87,49.848,56.826,63.804,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
137,1643.70087903441,1643.70087903441,0,1643.70087903441,1,8.152,15.304,22.457,29.609,36.761,43.913,51.065,58.217,65.37,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
138,1726.90054594058,1726.90054594058,0,1726.90054594058,1,8.326,15.652,22.978,30.304,37.63,44.957,52.283,59.609,66.935,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
139,1812.27045893051,1812.27045893051,0,1812.27045893051,1,8.5,16,23.5,31,38.5,46,53.5,61,68.5,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
140,1899.69935199163,1899.69935199163,0,1899.69935199163,1,8.674,16.348,24.022,31.696,39.37,47.043,54.717,62.391,70.065,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
141,1989.06483284946,1989.06483284946,0,1989.06483284946,1,8.848,16.696,24.543,32.391,40.239,48.087,55.935,63.783,71.63,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
142,2080.60882582855,2080.60882582855,0,2080.60882582855,1,9.022,17.043,25.065,33.087,41.109,49.13,57.152,65.174,73.196,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
