  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    508.1643         10       0.2848702E-02       -103.6098           0.1487652E-01
    508.1643         11       0.3057316E-02       -100.8240           0.1487961E-01
    508.1643         12       0.3254539E-02       -98.36002           0.1488231E-01
    508.1643         13       0.3442177E-02       -96.34942           0.1488441E-01
    508.1643         14       0.3621707E-02       -94.72261           0.1488627E-01
    508.1643         15       0.3794495E-02       -93.48280           0.1488781E-01
    508.1643         16       0.3961823E-02       -92.63317           0.1488889E-01
    508.1643         17       0.4124793E-02       -92.14964           0.1488760E-01
    508.1643         18       0.4284416E-02       -91.99449           0.1488877E-01
    508.1643         19       0.4441488E-02       -92.12421           0.1488913E-01
    508.1643         20       0.4596683E-02       -92.49990           0.1488920E-01
    508.1643         21       0.4750558E-02       -93.08915           0.1488902E-01
    508.1643         22       0.4903657E-02       -93.89489           0.1488851E-01
    508.1643         23       0.5055931E-02       -94.69073           0.1488684E-01
    508.1643         24       0.5206930E-02       -95.29325           0.1488653E-01
    508.1643         25       0.5356000E-02       -95.61926           0.1488591E-01
    508.1643         26       0.5502274E-02       -95.55796           0.1488604E-01
    508.1643         27       0.5644775E-02       -95.04072           0.1488683E-01
    508.1643         28       0.5782527E-02       -94.04626           0.1488824E-01
    508.1643         29       0.5914515E-02       -92.52023           0.1489041E-01
    508.1643         30       0.6039747E-02       -90.43997           0.1489276E-01
    508.1643         31       0.6157187E-02       -87.72271           0.1489867E-01
    508.1643         32       0.6265721E-02       -84.29388           0.1490417E-01
    508.1643         33       0.6364211E-02       -80.06320           0.1491116E-01
    508.1643         34       0.6451423E-02       -74.87081           0.1492068E-01
    508.1643         35       0.6526015E-02       -68.53194           0.1493324E-01
    508.1643         36       0.6586561E-02       -60.80329           0.1495051E-01
    508.1643         37       0.6631578E-02       -51.34241           0.1497546E-01
    508.1643         38       0.6659539E-02       -39.67520           0.1500927E-01
    508.1643         39       0.6671449E-02       -27.08470           0.1506877E-01
    508.1643         40       0.5604056E-02        0.000000           0.1000000E+31
    592.8584          1       0.2290333E-03       -119.3370           0.1528067E-01
    592.8584          2       0.4545087E-03       -119.5864           0.1527975E-01
    592.8584          3       0.6747155E-03       -119.1550           0.1527994E-01
    592.8584          4       0.8886779E-03       -118.2719           0.1527996E-01
    592.8584          5       0.1095239E-02       -116.8312           0.1528069E-01
    592.8584          6       0.1293457E-02       -114.8723           0.1528165E-01
    592.8584          7       0.1482611E-02       -112.4420           0.1528317E-01
    592.8584          8       0.1662300E-02       -109.6604           0.1528351E-01
    592.8584          9       0.1832526E-02       -106.6422           0.1528561E-01
    592.8584         10       0.1993726E-02       -103.6098           0.1528711E-01
    592.8584         11       0.2146865E-02       -100.8240           0.1528861E-01
    592.8584         12       0.2292972E-02       -98.36002           0.1528990E-01
    592.8584         13       0.2433248E-02       -96.34942           0.1529086E-01
    592.8584         14       0.2568667E-02       -94.72261           0.1529176E-01
    592.8584         15       0.2700125E-02       -93.48280           0.1529250E-01
    592.8584         16       0.2828475E-02       -92.63317           0.1529302E-01
    592.8584         17       0.2954419E-02       -92.14964           0.1529121E-01
    592.8584         18       0.3078656E-02       -91.99449           0.1529220E-01
    592.8584         19       0.3201704E-02       -92.12421           0.1529254E-01
    592.8584         20       0.3324009E-02       -92.49990           0.1529276E-01
    592.8584         21       0.3445936E-02       -93.08915           0.1529285E-01
    592.8584         22       0.3567848E-02       -93.89489           0.1529277E-01
    592.8584         23       0.3689688E-02       -94.69073           0.1529152E-01
    592.8584         24       0.3811151E-02       -95.29325           0.1529169E-01
    592.8584         25       0.3931755E-02       -95.61926           0.1529126E-01
    592.8584         26       0.4050882E-02       -95.55796           0.1529137E-01
    592.8584         27       0.4167832E-02       -95.04072           0.1529182E-01
    592.8584         28       0.4281912E-02       -94.04626           0.1529257E-01
    592.8584         29       0.4392395E-02       -92.52023           0.1529371E-01
    592.8584         30       0.4498567E-02       -90.43997           0.1529467E-01
    592.8584         31       0.4599722E-02       -87.72271           0.1529863E-01
    592.8584         32       0.4695058E-02       -84.29388           0.1530160E-01
    592.8584         33       0.4783786E-02       -80.06320           0.1530525E-01
    592.8584         34       0.4865064E-02       -74.87081           0.1531039E-01
    592.8584         35       0.4938003E-02       -68.53194           0.1531706E-01
    592.8584         36       0.5001704E-02       -60.80329           0.1532633E-01
    592.8584         37       0.5055301E-02       -51.34241           0.1534035E-01
    592.8584         38       0.5098024E-02       -39.67520           0.1535852E-01
    592.8584         39       0.5130851E-02       -27.08470           0.1539621E-01
    592.8584         40       0.5900952E-02        0.000000           0.1000000E+31
    677.5524          1       0.3510664E-03       -119.3370           0.1553147E-01
    677.5524          2       0.6936227E-03       -119.5864           0.1553090E-01
    677.5524          3       0.1025352E-02       -119.1550           0.1553099E-01
    677.5524          4       0.1344974E-02       -118.2719           0.1553093E-01
    677.5524          5       0.1650982E-02       -116.8312           0.1553130E-01
    677.5524          6       0.1942165E-02       -114.8723           0.1553176E-01
    677.5524          7       0.2217628E-02       -112.4420           0.1553268E-01
    677.5524          8       0.2477015E-02       -109.6604           0.1553280E-01
    677.5524          9       0.2720402E-02       -106.6422           0.1553385E-01
    677.5524         10       0.2948604E-02       -103.6098           0.1553447E-01
    677.5524         11       0.3163192E-02       -100.8240           0.1553510E-01
    677.5524         12       0.3365818E-02       -98.36002           0.1553562E-01
    677.5524         13       0.3558375E-02       -96.34942           0.1553596E-01
    677.5524         14       0.3742407E-02       -94.72261           0.1553632E-01
    677.5524         15       0.3919346E-02       -93.48280           0.1553665E-01
    677.5524         16       0.4090534E-02       -92.63317           0.1553688E-01
    677.5524         17       0.4257121E-02       -92.14964           0.1553479E-01
    677.5524         18       0.4420165E-02       -91.99449           0.1553566E-01
    677.5524         19       0.4580506E-02       -92.12421           0.1553615E-01
    677.5524         20       0.4738847E-02       -92.49990           0.1553647E-01
    677.5524         21       0.4895770E-02       -93.08915           0.1553675E-01
    677.5524         22       0.5051847E-02       -93.89489           0.1553696E-01
    677.5524         23       0.5207031E-02       -94.69073           0.1553598E-01
    677.5524         24       0.5360857E-02       -95.29325           0.1553650E-01
    677.5524         25       0.5512647E-02       -95.61926           0.1553624E-01
    677.5524         26       0.5661500E-02       -95.55796           0.1553639E-01
    677.5524         27       0.5806394E-02       -95.04072           0.1553665E-01
    677.5524         28       0.5946317E-02       -94.04626           0.1553695E-01
    677.5524         29       0.6080215E-02       -92.52023           0.1553755E-01
    677.5524         30       0.6207066E-02       -90.43997           0.1553804E-01
    677.5524         31       0.6325758E-02       -87.72271           0.1554008E-01
    677.5524         32       0.6435158E-02       -84.29388           0.1554169E-01
    677.5524         33       0.6534084E-02       -80.06320           0.1554353E-01
    677.5524         34       0.6621248E-02       -74.87081           0.1554628E-01
    677.5524         35       0.6695250E-02       -68.53194           0.1554964E-01
    677.5524         36       0.6754603E-02       -60.80329           0.1555436E-01
    677.5524         37       0.6797763E-02       -51.34241           0.1556202E-01
    677.5524         38       0.6823151E-02       -39.67520           0.1557139E-01
    677.5524         39       0.6831815E-02       -27.08470           0.1559456E-01
    677.5524         40       0.5981280E-02        0.000000           0.1000000E+31
    762.2465          1       0.2374199E-03       -119.3370           0.1568070E-01
    762.2465          2       0.4714592E-03       -119.5864           0.1568035E-01
    762.2465          3       0.7003182E-03       -119.1550           0.1568040E-01
